name,dosage,form,active_substance,indications,contraindications,category
Мирамистин суппозитории вагинальные,15 мг ; 10 шт,суппозитории,бензилдиметил[3-(миристоиламино)пропил]аммоний хлорид моногидрат,гинекологические инфекции,,Акушерство и гинекология / Инфекции
Аллергофри,"5 мг, 10 шт",таблетки,левоцетиризина дигидрохлорид 5 мг,Лечение симптомов аллергических ринитов.,,Аллергия / Противоаллергические
Дезлоратадин таб п/об пленочной,5мг ; 30 шт,таблетки,дезлоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Диазолин,"100 мг, 10 шт",таблетки,диазолин (мебгидролина нападизилат),"Сенная лихорадка, аллергический ринит, поллиноз.",,Аллергия / Противоаллергические
Кестин,"20 мг, 10 шт",таблетки лиофилизированные,эбастин 20 мг,Аллергический ринит различной этиологии (сезонный и круглогодичный).,Повышенная чувствительность к компонентам препарата.,Аллергия / Противоаллергические
Контразуд гель для наружн.прим-я 0.1%,5г,гель,диметинден,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин таб,10 мг ; 10 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин таб,10 мг ; 30 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин таб,10мг ; 10 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин-Акрихин таблетки,10 мг ; 30 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин-ВЕРТЕКС,"10 мг, 30 шт",таблетки,лоратадин 10 мг,Сезонный и круглогодичный аллергический ринит.,,Аллергия / Противоаллергические
Лоратадин-ВЕРТЕКС таб,10мг ; 10 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин-Тева таб,10мг ; 10 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин-ЭКОлаб сироп,1 мг/мл ; 1 мг ; 100 мл,сироп,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Налориус,"5 мг, 10 шт","таблетки, покрытые оболочкой",дезлоратадин 5 мг,Аллергический ринит; облегчение симптомов крапивницы.,Повышенная чувствительность к компонентам.,Аллергия / Противоаллергические
Сенсинор капли,10 мг/мл ; 10 мг ; 10 мл,капли,,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Супрастин раствор для инъекций,20мг/мл ; 20мг ; 1мл,раствор,хлоропирамин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Супрастин таб,25мг ; 20 шт,таблетки,хлоропирамин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Супрастин таб,25мг ; 40 шт,таблетки,хлоропирамин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Супрастинекс капли,5мг/мл ; 5мг ; 20 мл,капли,левоцетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Супрастинекс таб,5мг ; 14 шт,таблетки,левоцетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Супрастинекс таб,5мг ; 7 шт,таблетки,левоцетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
"Фенистил Гель средство при аллергии и для облегчения зуда, диметинден 0,1%",30 г,гель,диметинден,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
"Фенистил Гель средство при аллергии и для облегчения зуда, раздражения и ожогов легкой степени, диметинден 0,1%",100 г,гель,диметинден,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
"Фенистил Капли средство при аллергии и при кожном зуде, диметинден 0,1%",20 мл,капли,диметинден,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
"Фенистил Эмульсия средство при аллергии и для облегчения зуда, диметинден 0,1%",8 мл,эмульсия,диметинден,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Хлоропирамин раствор,20 мг/мл ; 20 мг ; 2 мл ; 10 шт,раствор,хлоропирамин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Хлоропирамин раствор для инъекций,20 мг/мл ; 20 мг ; 1 мл ; 5 шт,раствор,хлоропирамин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин Реневал капли для вн.пр,10мг/мл ; 10мг ; 20мл,капли,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин капли,10 мг/мл ; 10 мг ; 20 мл,капли,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин таб,10 мг ; 20 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин таб,10 мг ; 20 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин таб,10 мг ; 20 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин таб п/об пленочной,10мг ; 10 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин-АКОС таб,10 мг ; 30 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин-ВЕРТЕКС таб,10 мг ; 20 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетиризин-Тева таб п/п/об,10мг ; 20 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетрин капли,10 мг/мл ; 10 мг ; 20 мл,капли,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетрин таб,10 мг ; 20 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Цетрин таб,10 мг ; 30 шт,таблетки,цетиризин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Эритадин сироп,0.5 мг/мл ; 0.5 мг ; 60 мл,сироп,дезлоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Эриус раствор,"0,5 мг/мл ; 0,5 мг ; 60 мл",раствор,дезлоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
"Эриус, таблетки от аллергии",10 шт,таблетки,дезлоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
"Эриус, таблетки от аллергии",20 шт,таблетки,дезлоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Но-шпа Дуо таб,40мг ; 500мг ; 12 шт,таблетки,дротаверин + парацетамол,,,Анальгетики и спазмолитики / Боль
Нурофен Интенсив таб п/п/об,200мг ; 500мг ; 6 шт,таблетки,ибупрофен + парацетамол,,,Анальгетики и спазмолитики / Боль
Цитрамон П Реневал таб,10 шт,таблетки,ацетилсалициловая кислота + парацетамол + кофеин,,,Анальгетики и спазмолитики / Боль
Цитрамон П таб,20 шт,таблетки,ацетилсалициловая кислота + парацетамол + кофеин,,,Анальгетики и спазмолитики / Боль
Цитрамон П таб,30 шт,таблетки,ацетилсалициловая кислота + парацетамол + кофеин,,,Анальгетики и спазмолитики / Боль
Цитрамон П таб,50 шт,таблетки,ацетилсалициловая кислота + парацетамол + кофеин,,,Анальгетики и спазмолитики / Боль
Цитрамон П форте таб,10 шт,таблетки,ацетилсалициловая кислота + парацетамол + кофеин,,,Анальгетики и спазмолитики / Боль
Азитромицин Велфарм капс,250 мг ; 6 шт,капсулы,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Азитромицин Реневал таб,500 мг ; 3 шт,таблетки,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Азитромицин Экомед порошок,"100 мг ; 16,5 г ; 5 мл",порошок,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Азитромицин таб,500 мг ; 3 шт,таблетки,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Азитромицин таб,500 мг ; 3 шт,таблетки,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Азитромицин форте-OBL таб,500 мг ; 3 шт,таблетки,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Азитромицин-Акрихин таблетки покрытые пленочной оболочкой,500 мг ; 3 шт,таблетки,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Азитромицин-ВЕРТЕКС таб,500 мг ; 3 шт,таблетки,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Азитромицин-Тева таб диспергируемые,500 мг ; 3 шт,таблетки,азитромицин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав квиктаб таб дисперг,250мг ; 62.5мг ; 20 шт,таблетки,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав квиктаб таб дисперг,500мг ; 125мг ; 14 шт,таблетки,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав квиктаб таб дисперг,875мг ; 125мг ; 14 шт,таблетки,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав порошок,125 мг ; 31.25 мг ; 5 мл ; 100 мл,порошок,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав порошок,250 мг ; 62.5 мг ; 5 мл ; 100 мл,порошок,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав порошок,400 мг ; 57 мг ; 5 мл ; 140 мл,порошок,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав порошок для приг.сусп.для приема внутрь,400мг ; 57мг ; 22г ; 5мл,порошок,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав порошок для приготовления раствора для инъекций,,порошок,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксиклав таб п/об пленочной,875мг ; 125мг ; 14 шт,таблетки,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксициллин капс.,250мг ; 16 шт,капсулы,амоксициллин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксициллин капс.,500мг ; 16 шт,капсулы,амоксициллин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксициллин капс.,500мг ; 16 шт,капсулы,амоксициллин,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Амоксициллин+клавулановая кислота экспресс таб,,таблетки,амоксициллин + клавулановая кислота,бактериальные инфекции,,"Антибиотики, противомикробные и противопаразитарные / Антибиотики"
Аквазан Повидон-Йод раствор 10%,50 мл,раствор,повидон-йод,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Бетадин раствор 10%,1000мл,раствор,повидон-йод,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Бетадин раствор 10%,120мл,раствор,повидон-йод,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Бетадин раствор 10%,30мл,раствор,повидон-йод,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Винилин,50 г,жидкость для приема внутрь и наружного применения,поливинокс (винилин) 100 г,"Наружно: фурункулы, карбункулы, трофические язвы.",,Кожа / Антисептики
Йод раствор спиртовой 5%,25 мл,раствор,йод,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Мирамистин,"0.01%, 150 мл",раствор с распылителем,бензилдиметил,Комплексное лечение острого и хронического тонзиллита и других инфекций в ЛОР-практике.,,Кожа / Антисептики
Мирамистин раствор 0.01%,50 мл,раствор,бензилдиметил[3-(миристоиламино)пропил]аммоний хлорид моногидрат,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Мирамистин раствор 0.01%,500мл,раствор,бензилдиметил[3-(миристоиламино)пропил]аммоний хлорид моногидрат,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Мирамистин раствор для мест.пр. 0.01%,50мл,раствор,бензилдиметил[3-(миристоиламино)пропил]аммоний хлорид моногидрат,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Повидон-йод р-р д/мест.и нар.прим-я 10%,120мл,,повидон-йод,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Повидон-йод р-р д/мест.и нар.прим-я 10%,30мл,,повидон-йод,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Фурацилин Renewal,"20 мг, 20 шт",таблетки,нитрофурал (фурацилин) 20 мг,"Наружно: гнойные раны, пролежни, ожоги II–III степени.",,Кожа / Антисептики
"Хлоргексидин раствор 0,05%",100 мл,раствор,хлоргексидин,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
"Хлоргексидин раствор 0,05%",100 мл,раствор,хлоргексидин,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Хлоргексидин раствор для наружн.прим-я спиртовой 0.5,,раствор,,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
"Хлоргексидин раствор спиртовой 0,5%",100 мл,раствор,хлоргексидин,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Хлоргексидина биглюконат 0.05%,100 мл,,хлоргексидин,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Хлоргексидина биглюконат средство дезинфицирующее раствор водный 0.05%,150мл,раствор,хлоргексидин,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Хлоргексидина биглюконат средство для дезинфекции 0.05%,150 мл,,хлоргексидин,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Хлоргексидина биглюконат-сфф средство для дезинфекции 0.05%,200мл,,хлоргексидин,антисептическая обработка кожи и слизистых,,Кожа / Антисептики
Радевит Актив,35 г,мазь,ретинола пальмитат (витамин А) и другие витамины,Комплексная терапия взрослых и детей при дерматитах.,,Кожа / Дерматиты
Тридерм,15 г,мазь для наружного применения,бетаметазона дипропионат + клотримазол + гентамицин,"Дерматозы, осложненные инфекциями.",,Кожа / Дерматиты
Банеоцин мазь,20 г,мазь,бацитрацин + неомицин,"раны, ожоги, повреждения кожи",,Кожа / Раны и повреждения кожи
Банеоцин мазь,5 г,мазь,бацитрацин + неомицин,"раны, ожоги, повреждения кожи",,Кожа / Раны и повреждения кожи
Банеоцин порошок,10 г,порошок,бацитрацин + неомицин,"раны, ожоги, повреждения кожи",,Кожа / Раны и повреждения кожи
Бацидерм мазь,20 г,мазь,бацитрацин + неомицин,"раны, ожоги, повреждения кожи",,Кожа / Раны и повреждения кожи
Бацидерм порошок,10 г,порошок,бацитрацин + неомицин,"раны, ожоги, повреждения кожи",,Кожа / Раны и повреждения кожи
Левомеколь мазь,10 г,мазь,хлорамфеникол + метилурацил,"раны, ожоги, инфицированные повреждения кожи",,Кожа / Раны и повреждения кожи
Левомеколь мазь,40 г,мазь,хлорамфеникол + метилурацил,"раны, ожоги, инфицированные повреждения кожи",,Кожа / Раны и повреждения кожи
Мирамистин мазь 0.5%,30г,мазь,бензилдиметил[3-(миристоиламино)пропил]аммоний хлорид моногидрат,"раны, ожоги, инфицированные повреждения кожи",,Кожа / Раны и повреждения кожи
Необацитрин порошок,10 г,порошок,бацитрацин + неомицин,"раны, ожоги, повреждения кожи",,Кожа / Раны и повреждения кожи
Олазоль,80 г,аэрозоль,облепиховое масло 7 г и комбинированный состав,"Инфицированные раны, в том числе вялозаживающие.",,Кожа / Раны и повреждения кожи
Ранавексим порошок,10 г,порошок,сульфаниламид,"раны, ожоги, повреждения кожи",,Кожа / Раны и повреждения кожи
Стрептоцид порошок,10 г,порошок,сульфаниламид,"раны, ожоги, повреждения кожи",,Кожа / Раны и повреждения кожи
Мебикар,"500 мг, 20 шт",таблетки,мебикар,Неврозы и неврозоподобные состояния.,,Неврология и психиатрия / Анксиолитики
Аксамон,"20 мг, 50 шт",таблетки,ипидакрина гидрохлорида моногидрат,Заболевания периферической нервной системы.,,Неврология и психиатрия / Болезнь Альцгеймера
Bioforte Гинкго билоба + Глицин + Витамин В6 капс,30 шт,капсулы,глицин + гинкго билоба,"поддержка когнитивных функций, памяти и внимания",,Неврология и психиатрия / Ноотропы
Актитропил,"100 мг, 30 шт",таблетки,фонтурацетам,Заболевания ЦНС различного генеза.,,Неврология и психиатрия / Ноотропы
Гинкго билоба,120 мг ; 60 шт,таблетки,гинкго билоба + глицин,"поддержка когнитивных функций, памяти и внимания",,Неврология и психиатрия / Ноотропы
Гинкго билоба + Глицин таб,60 шт,таблетки,глицин + гинкго билоба,"поддержка когнитивных функций, памяти и внимания",,Неврология и психиатрия / Ноотропы
Глиатилин,"400 мг, 14 шт",капсулы,холина альфосцерат 400 мг,Нарушения мозгового кровообращения.,,Неврология и психиатрия / Ноотропы
Глирикум Глицин+Гинкго таб,25 шт,таблетки,глицин + растительные компоненты,"поддержка когнитивных функций, памяти и внимания",,Неврология и психиатрия / Ноотропы
Кортексин,"5 мг, 10 шт",лиофилизат,кортексин 5 мг,В комплексной терапии нарушений мозгового кровообращения.,,Неврология и психиатрия / Ноотропы
Семакс,"0.1%, 3 мл",капли назальные,семакс 1 г/л,"Интеллектуально-мнестические расстройства, состояния после ЧМТ и инсульта, невротические расстройства, СДВГ у детей старше 7 лет.",Повышенная чувствительность; дети до 7 лет; беременность; лактация; острые психические состояния; тревожные расстройства; судороги в анамнезе.,Неврология и психиатрия / Ноотропы
Глицин+Мелатонин Эвалар,100 мг ; 3 мг,таблетки,глицин + мелатонин,нарушения сна,,Неврология и психиатрия / Снотворные
Ницерголин,"10 мг, 30 шт","таблетки, покрытые оболочкой",ницерголин,Симптоматическая терапия когнитивных нарушений.,,Неврология и психиатрия / Улучшение мозгового кровообращения
Циннаризин Авексима,"25 мг, 50 шт",таблетки,"циннаризин 0,025 г","Нарушения мозгового кровообращения: головокружение, шум в ушах.",,Неврология и психиатрия / Улучшение мозгового кровообращения
Tetralab таб для расс. аминоглицин ультра,900мг ; 90 шт,таблетки,глицин,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
АФОБАЗОЛ РЕТАРД таб,30 мг ; 20 шт,таблетки,фабомотизол,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Атревозол таб,10 мг ; 60 шт,таблетки,,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Афобазол таб,10 мг ; 60 шт,таблетки,фабомотизол,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Биокор Глицин с витаминами В1 и В6 таб,50 шт,таблетки,глицин + витамины B1 и B6,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Глирикум Глицин+Зверобой капс,30 шт,капсулы,глицин + растительные компоненты,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Ново-Пассит раствор для вн.пр,100мл,раствор,гвайфенезин + растительные экстракты,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Ново-Пассит раствор для вн.пр,200мл,раствор,гвайфенезин + растительные экстракты,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Ново-Пассит таб п/п/об,10 шт,таблетки,гвайфенезин + растительные экстракты,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Ново-Пассит таб п/п/об,30 шт,таблетки,гвайфенезин + растительные экстракты,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Ново-Пассит таб п/п/об,60 шт,таблетки,гвайфенезин + растительные экстракты,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Успокаивающий капс,60 шт,капсулы,,"тревога, стресс, раздражительность, нарушения сна",,Неврология и психиатрия / Успокоительные и седативные
Полисорб МП порошок,12 г,порошок,кремния диоксид коллоидный,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
Полисорб МП порошок,25 г,порошок,кремния диоксид коллоидный,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
Полисорб МП порошок,3 г ; 10 шт,порошок,кремния диоксид коллоидный,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
Полисорб МП порошок,50 г,порошок,кремния диоксид коллоидный,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
Смекта паста для приема внутрь пак,8 шт,паста,смектит диоктаэдрический,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
"Смекта порошок для приготовления суспензии, апельсиновый",3 г ; 20 шт,порошок,смектит диоктаэдрический,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
"Смекта порошок для приготовления суспензии, ванильный",3 г ; 20 шт,порошок,смектит диоктаэдрический,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
"Смекта порошок для приготовления суспензии, клубничный",3 г ; 30 шт,порошок,смектит диоктаэдрический,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
Смекта суспензия карамель/ какао,3 г ; 8 шт,суспензия,смектит диоктаэдрический,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
Уголь активированный Renewal,"250 мг, 30 шт",таблетки,"уголь активированный 0,25 г",Экзогенные и эндогенные интоксикации различного происхождения.,,Пищеварительный тракт / Адсорбенты
Уголь активированный Авексима,"250 мг, 50 шт",таблетки,уголь активированный 250 мг,Экзогенные и эндогенные интоксикации различного происхождения.,,Пищеварительный тракт / Адсорбенты
Уголь активированный Медисорб,"250 мг, 20 шт",таблетки,уголь активированный 250 мг,Детоксицирующее средство при интоксикациях.,,Пищеварительный тракт / Адсорбенты
Уголь активированный Фармстандарт,"250 мг, 30 шт",таблетки,активированный уголь 250 мг,Детоксицирующее средство при интоксикациях.,,Пищеварительный тракт / Адсорбенты
Энтеросгель паста для приема внутрь,22.5 г ; 10 шт,паста,полиметилсилоксана полигидрат,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
Энтеросгель паста для приема внутрь,225 г,паста,полиметилсилоксана полигидрат,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
"Энтеросгель паста для приема внутрь, сладкая",225 г,паста,полиметилсилоксана полигидрат,"диарея, интоксикация, отравления",,Пищеварительный тракт / Адсорбенты
Симеотик бэби,"100 мг/мл, 30 мл",капли для приема внутрь,симетикон 100 мг/мл,,Повышенная чувствительность к компонентам препарата.,Пищеварительный тракт / Ветрогонные
Аллохол,10 шт,"таблетки, покрытые оболочкой",желчь крупного рогатого скота 80 мг,,"Гиперчувствительность, калькулезный холецистит.",Пищеварительный тракт / Желчегонные
Линекс Форте капс,14 шт,капсулы,пробиотики,"дисбактериоз, восстановление микрофлоры кишечника",,Пищеварительный тракт / Нормализация микрофлоры
Линекс Форте капс,28 шт,капсулы,пробиотики,"дисбактериоз, восстановление микрофлоры кишечника",,Пищеварительный тракт / Нормализация микрофлоры
Линекс капс,16 шт,капсулы,пробиотики,"дисбактериоз, восстановление микрофлоры кишечника",,Пищеварительный тракт / Нормализация микрофлоры
Линекс капс,32 шт,капсулы,пробиотики,"дисбактериоз, восстановление микрофлоры кишечника",,Пищеварительный тракт / Нормализация микрофлоры
Метилурацил,"500 мг, 10 шт",суппозитории ректальные,диоксометилтетрагидропиримидин,,"Гиперчувствительность, лейкоз.",Пищеварительный тракт / Противовоспалительные
Лоперамид Велфарм капс,2 мг ; 10 шт,капсулы,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Лоперамид Реневал капс,2мг ; 10 шт,капсулы,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Лоперамид капс.,2мг ; 10 шт,капсулы,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Лоперамид капс.,2мг ; 20 шт,капсулы,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Лоперамид капс.,2мг ; 20 шт,капсулы,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Лоперамид таб,2мг ; 10 шт,таблетки,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Лоперамид таб,2мг ; 20 шт,таблетки,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Лоперамид таб,2мг ; 20 шт,таблетки,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Лоперамид-Алиум капс,2 мг ; 20 шт,капсулы,лоперамид,острая и хроническая диарея,,Пищеварительный тракт / Противодиарейные
Омепразол Реневал капс,10 мг ; 30 шт,капсулы,омепразол,"язвенная болезнь, рефлюкс, гиперсекреция желудка",,Пищеварительный тракт / Противоязвенные
Омепразол капс,20 мг ; 30 шт,капсулы,омепразол,"язвенная болезнь, рефлюкс, гиперсекреция желудка",,Пищеварительный тракт / Противоязвенные
Омепразол капс.,20мг ; 30 шт,капсулы,омепразол,"язвенная болезнь, рефлюкс, гиперсекреция желудка",,Пищеварительный тракт / Противоязвенные
Омепразол-OBL капс.,20мг ; 28 шт,капсулы,омепразол,"язвенная болезнь, рефлюкс, гиперсекреция желудка",,Пищеварительный тракт / Противоязвенные
Омепразол-Акрихин капсулы,20 мг ; 30 шт,капсулы,омепразол,"язвенная болезнь, рефлюкс, гиперсекреция желудка",,Пищеварительный тракт / Противоязвенные
Омепразол-Тева капс. киш.раств.,20мг ; 28 шт,капсулы,омепразол,"язвенная болезнь, рефлюкс, гиперсекреция желудка",,Пищеварительный тракт / Противоязвенные
Омепразол-Тева капс. киш.раств.,40мг ; 28 шт,капсулы,омепразол,"язвенная болезнь, рефлюкс, гиперсекреция желудка",,Пищеварительный тракт / Противоязвенные
Касторовое масло,30 мл,масло для приема внутрь,касторовое масло,"Запоры, подготовка кишечника перед исследованиями.",,Пищеварительный тракт / Слабительные
Пикодинар,"7.5 мг/мл, 30 мл",капли для приема внутрь,"натрия пикосульфата моногидрат 7,5 мг/мл",,Кишечная непроходимость или обструктивные заболевания кишечника.,Пищеварительный тракт / Слабительные
Пикопреп,2 шт,порошок для приготовления раствора,лимонная кислота безводная 12 г + магния оксид + натрия пикосульфат,,Повышенная чувствительность к одному из компонентов.,Пищеварительный тракт / Слабительные
Дюспаталин,135 мг,таблетки,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
